IDs         length   Exptl.  resolution  R-factor FreeRvalue
5IXIB        53      XRAY        2.570    0.22    0.26
1Q77A       138      XRAY        2.700    0.22    0.26
1V6TA       255      XRAY        1.700    0.20    0.23
5MX2R        41      XRAY        2.200    0.21    0.26
1VRBA       342      XRAY        2.600    0.22    0.27
4Q62A       422      XRAY        1.900    0.18    0.21
4XTBA       123      XRAY        1.500    0.14    0.18
4H86A       199      XRAY        2.000    0.16    0.17
2Y26A       504      XRAY        2.700    0.19    0.21
6EYUA       232      XRAY        2.500    0.21    0.25
3JRTA       192      XRAY        2.300    0.19    0.23
4TXRC        58      XRAY        1.000    0.16    0.18
2OZEA       298      XRAY        1.830    0.19    0.22
6EPGA        61      XRAY        2.400    0.23    0.27
1M4JA       142      XRAY        1.600    0.23    0.25
4KTBA       194      XRAY        1.940    0.18    0.22
5B04E       458      XRAY        2.990    0.23    0.27
5TXEA       705      XRAY        2.200    0.16    0.20
2RK9A       145      XRAY        1.600    0.21    0.23
4YBBAN      100      XRAY        2.100    0.22    0.23
1CFBA       205      XRAY        2.000    0.20    1.00
3HRGA       257      XRAY        1.850    0.20    0.24
5F6RA       175      XRAY        1.180    0.15    0.17
2RKVA       451      XRAY        1.600    0.18    0.21
3OHGA       285      XRAY        1.800    0.13    0.15
4XOMA       207      XRAY        1.900    0.23    0.27
4HTGA       320      XRAY        1.450    0.15    0.22
5HWHA       187      XRAY        1.790    0.19    0.22
1I71A        83      XRAY        1.450    0.17    0.20
3EBEA       200      XRAY        2.300    0.20    0.25
4ESMA       302      XRAY        1.350    0.15    0.18
1JIXA       351      XRAY        1.650    0.20    0.21
2GUHA       214      XRAY        1.520    0.17    0.19
5ISUA       502      XRAY        2.200    0.18    0.22
2IABA       155      XRAY        2.000    0.18    0.23
3GJYA       317      XRAY        1.470    0.16    0.19
3K8UA       156      XRAY        1.900    0.21    0.23
5XM5A       193      XRAY        1.490    0.18    0.23
3DA5A       128      XRAY        1.940    0.22    0.27
3DNSA       135      XRAY        2.100    0.20    0.25
3OULA       232      XRAY        1.600    0.20    0.22
3OOSA       278      XRAY        1.650    0.15    0.18
3MVUA       226      XRAY        1.800    0.17    0.18
5I3EA       358      XRAY        1.650    0.16    0.19
6GI4B       194      XRAY        1.350    0.19    0.22
3OP6A       152      XRAY        2.000    0.20    0.23
3OKPA       394      XRAY        2.000    0.20    0.23
1VCTA       205      XRAY        1.850    0.21    0.25
1X8DA       104      XRAY        1.800    0.23    0.28
1ZTDA       133      XRAY        2.000    0.23    0.27
3BRUA       222      XRAY        2.300    0.17    0.20
2H88B       252      XRAY        1.740    0.18    0.21
5B4BA       248      XRAY        1.600    0.16    0.19
1KNYA       253      XRAY        2.500    0.17    1.00
5LF9A       304      XRAY        1.450    0.17    0.21
4U4RD7       81      XRAY        2.800    0.21    0.25
4EW6A       330      XRAY        2.300    0.25    0.29
1M4UA       206      XRAY        2.420    0.24    0.27
1TWUA       139      XRAY        2.000    0.21    0.23
5CFJA       152      XRAY        1.250    0.17    0.19
3V7BA       151      XRAY        1.740    0.18    0.23
1VQOB       338      XRAY        2.200    0.21    0.25
1V84A       253      XRAY        1.820    0.21    0.24
3KHEA       191      XRAY        1.950    0.20    0.28
4KNAA       495      XRAY        1.950    0.15    0.19
3QT2A       317      XRAY        2.550    0.21    0.26
2X29A       167      XRAY        2.300    0.22    0.23
3T7AA       330      XRAY        1.700    0.18    0.21
4Q2UA        86      XRAY        1.800    0.18    0.21
4ZSXA       296      XRAY        2.190    0.23    0.25
6CL6A       372      XRAY        1.900    0.16    0.21
3NS4A       271      XRAY        2.900    0.19    0.22
5II8A       138      XRAY        0.990    0.17    0.19
3IX0A        94      XRAY        2.300    0.21    0.26
2ZB6A       481      XRAY        2.600    0.23    0.25
1FCQA       350      XRAY        1.600    0.19    0.23
4H79A       216      XRAY        1.900    0.15    0.20
2VLGA       111      XRAY        1.700    0.20    0.24
4GMUA       612      XRAY        1.200    0.17    0.20
3PMSA       326      XRAY        1.570    0.15    0.18
4HMSA       225      XRAY        1.330    0.12    0.15
2RH3A       121      XRAY        1.700    0.18    0.21
6AO3A       212      XRAY        1.760    0.16    0.19
2FJ8A       125      XRAY        1.190    0.21    0.24
5JK2A       167      XRAY        2.150    0.25    0.28
5M9BA       724      XRAY        2.120    0.20    0.23
5J1NA       175      XRAY        1.090    0.16    0.18
1ZCEA       155      XRAY        1.300    0.20    0.21
5X6VF       135      XRAY        2.020    0.20    0.24
5EGNA       271      XRAY        2.640    0.22    0.26
3O6ZA       191      XRAY        2.050    0.24    0.30
3ZQCA       131      XRAY        2.900    0.22    0.27
2BJIA       277      XRAY        1.240    0.15    0.19
4M0WA       327      XRAY        1.400    0.16    0.18
2AXQA       467      XRAY        1.700    0.20    0.24
4WN5A       115      XRAY        1.150    0.12    0.14
1VHTA       218      XRAY        1.590    0.21    0.25
1AOCA       175      XRAY        2.000    0.19    0.28
3DS4A        86      XRAY        1.120    0.21    0.23
3MSWA       145      XRAY        1.900    0.20    0.23
4QDGA       310      XRAY        2.200    0.17    0.21
4HZ9A       119      XRAY        2.400    0.19    0.23
3FSAA       125      XRAY        0.980    0.12    0.14
3FSEA       365      XRAY        1.900    0.18    0.22
4DVEA       198      XRAY        2.090    0.19    0.20
3SHPA       176      XRAY        2.210    0.19    0.23
3MVSA       210      XRAY        1.100    0.16    0.19
5ED7A       252      XRAY        2.720    0.22    0.23
4H6HA        87      XRAY        2.500    0.22    0.24
4ZMIA       235      XRAY        2.300    0.20    0.23
1CG2A       393      XRAY        2.500    0.20    0.22
3HRLA       104      XRAY        1.950    0.18    0.23
5TGNA       111      XRAY        2.000    0.16    0.20
3IG9A        78      XRAY        1.900    0.18    0.23
2QLTA       275      XRAY        1.600    0.17    0.20
1YRKA       126      XRAY        1.700    0.18    0.22
4GJRA       499      XRAY        1.850    0.20    0.23
3NRLA        81      XRAY        1.900    0.22    0.26
4YZEA       201      XRAY        2.200    0.21    0.26
2ZU0C       267      XRAY        2.200    0.23    0.26
4AG6A       392      XRAY        2.350    0.23    0.27
4A2VA       131      XRAY        1.440    0.17    0.19
3SWOA       399      XRAY        1.450    0.13    0.15
5UKIA       351      XRAY        1.800    0.17    0.21
5XAUB        74      XRAY        1.800    0.20    0.24
2VSGA       358      XRAY        2.700    0.20    1.00
5WWOA       363      XRAY        2.400    0.17    0.23
6CD7A       302      XRAY        1.530    0.17    0.21
1KA8A       100      XRAY        2.950    0.24    0.28
2E8EA       132      XRAY        1.700    0.21    0.23
1F9VA       347      XRAY        1.300    0.22    0.24
2GB3A       409      XRAY        2.500    0.23    0.27
1UZ3A       102      XRAY        1.100    0.14    0.20
4XOTA       597      XRAY        1.060    0.11    0.13
4Q4GX       472      XRAY        0.970    0.13    0.17
2XHAA       193      XRAY        1.910    0.18    0.23
3KEVA       199      XRAY        1.300    0.16    0.18
2IMJA       166      XRAY        1.500    0.17    0.19
4KT6A       259      XRAY        1.710    0.20    0.23
5CYAA       268      XRAY        2.000    0.20    0.24
4IILA       346      XRAY        1.300    0.12    0.15
3BWHA       245      XRAY        1.000    0.17    0.18
4OYHA       176      XRAY        2.410    0.21    0.30
2XDOA       398      XRAY        2.090    0.19    0.23
4CCVA       115      XRAY        1.930    0.19    0.23
1NEZG       128      XRAY        2.100    0.22    0.28
5CFDA       252      XRAY        2.500    0.21    1.00
3PG7A       256      XRAY        2.190    0.21    0.25
4ADZA       136      XRAY        1.700    0.19    0.23
2QYCA       103      XRAY        1.900    0.18    0.24
1UWVA       433      XRAY        1.950    0.19    0.23
3RJUA       351      XRAY        1.500    0.14    0.17
2PN2A       155      XRAY        1.950    0.20    0.24
1OBBA       480      XRAY        1.900    0.20    0.23
3BH0A       315      XRAY        2.350    0.24    0.28
1NFPA       228      XRAY        1.600    0.17    1.00
2NYGA       273      XRAY        2.600    0.26    0.30
3LGDA       508      XRAY        2.000    0.19    0.23
6ETZA       989      XRAY        1.800    0.16    0.20
1N71A       180      XRAY        1.800    0.21    0.24
4Z54A       287      XRAY        1.830    0.17    0.20
1WLUA       136      XRAY        1.450    0.19    0.19
4HY3A       365      XRAY        2.800    0.21    0.29
2E9XB       185      XRAY        2.300    0.20    0.23
4QQRA       301      XRAY        2.700    0.25    0.27
5OMTA       110      XRAY        1.350    0.15    0.19
3CPXA       321      XRAY        2.390    0.19    0.22
5BSEA       277      XRAY        1.700    0.16    0.18
4R1KA       138      XRAY        2.560    0.26    0.30
1VZYA       291      XRAY        1.970    0.20    0.23
3RURA       121      XRAY        1.700    0.20    0.23
1VMOA       163      XRAY        2.200    0.19    1.00
3RLFG       296      XRAY        2.200    0.23    0.25
5IWSA       470      XRAY        2.550    0.24    0.28
4ONRA       166      XRAY        1.600    0.17    0.20
2FDOA        94      XRAY        2.400    0.20    0.25
2QM4A       235      XRAY        2.300    0.18    0.24
1WDDA       477      XRAY        1.350    0.16    0.18
1SMXA        96      XRAY        1.800    0.20    0.23
1RWHA       757      XRAY        1.250    0.11    0.14
5IUFA       333      XRAY        1.950    0.18    0.22
6EQTA       219      XRAY        2.730    0.21    0.25
2BASA       431      XRAY        2.610    0.21    0.29
5EJ8A       556      XRAY        1.340    0.13    0.16
1DFMA       223      XRAY        1.500    0.19    0.22
4PVKA       500      XRAY        1.300    0.14    0.16
3DI5A       168      XRAY        2.010    0.23    0.27
3SK7A       116      XRAY        1.500    0.16    0.20
3CZXA       182      XRAY        1.600    0.18    0.22
3G3LA       327      XRAY        2.200    0.17    0.21
2VTWA       205      XRAY        2.000    0.18    0.21
5HUSA       306      XRAY        1.750    0.19    0.22
1T6LA       290      XRAY        1.850    0.24    0.27
4R2XA       252      XRAY        0.930    0.15    0.16
4USOA       153      XRAY        1.950    0.18    0.20
1N3LA       372      XRAY        1.180    0.18    0.22
3MCEA        61      XRAY        2.400    0.25    0.28
5DEQA       228      XRAY        1.950    0.16    0.22
4ZEMA       393      XRAY        2.550    0.18    0.20
5M7YA       435      XRAY        1.550    0.15    0.18
3ZDBA       251      XRAY        1.470    0.20    0.23
4HSTB       543      XRAY        1.570    0.12    0.16
3F9SA       146      XRAY        1.760    0.17    0.21
5H3VA       103      XRAY        1.400    0.20    0.25
3UFIA       297      XRAY        2.180    0.18    0.20
1T0FA       276      XRAY        1.850    0.21    0.23
4J32A       174      XRAY        1.800    0.18    0.20
5C4YA       184      XRAY        1.770    0.16    0.21
1VQO3        92      XRAY        2.200    0.21    0.25
4R78A       309      XRAY        1.450    0.19    0.21
4DPBX        99      XRAY        1.000    0.12    0.14
3KNYA       218      XRAY        2.600    0.20    0.24
3BN0A       112      XRAY        2.000    0.24    0.29
2DOQD        94      XRAY        3.000    0.26    0.30
4DNDA       130      XRAY        1.400    0.16    0.20
5K8JA        85      XRAY        1.600    0.16    0.17
1JYOA       130      XRAY        1.900    0.23    0.26
3B9TA       484      XRAY        1.580    0.14    0.18
3GYCA       393      XRAY        1.850    0.17    0.20
3UUEA       279      XRAY        1.450    0.16    0.19
4PW2A       585      XRAY        1.900    0.21    0.24
5LNIA       359      XRAY        1.130    0.12    0.14
4DIMA       403      XRAY        2.610    0.19    0.23
1SJ1A        66      XRAY        1.500    0.20    0.22
4CLCA       179      XRAY        2.800    0.21    0.27
5DUTA       233      XRAY        1.500    0.17    0.19
4AUKA       375      XRAY        1.900    0.17    0.21
3PASA       195      XRAY        1.900    0.17    0.21
4OSEA       298      XRAY        2.400    0.20    0.23
3VEPC        80      XRAY        2.500    0.24    0.29
5K8SA       148      XRAY        1.150    0.20    0.22
1C8UA       285      XRAY        1.900    0.23    0.25
2ZAHA       331      XRAY        2.810    0.21    0.22
1N7VA       555      XRAY        2.200    0.24    0.26
5WANA       403      XRAY        1.800    0.15    0.17
6ANWA        99      XRAY        2.490    0.22    0.27
3P6LA       262      XRAY        1.850    0.19    0.24
4N3YB        92      XRAY        2.200    0.20    0.23
5YXGA       317      XRAY        1.480    0.18    0.20
3IPRA       150      XRAY        2.500    0.21    0.25
1Y8QA       346      XRAY        2.250    0.21    0.25
3DXRA        89      XRAY        2.500    0.25    0.28
5NZOA       195      XRAY        1.290    0.20    0.24
2VPVA       166      XRAY        2.700    0.21    0.24
3ER6A       209      XRAY        1.900    0.19    0.23
3M33A       226      XRAY        2.190    0.18    0.21
4DKKA       115      XRAY        1.700    0.17    0.20
1F2TB       148      XRAY        1.600    0.19    0.23
2RJ2A       185      XRAY        1.700    0.19    0.21
1U5KA       244      XRAY        2.000    0.20    0.21
2A7KA       250      XRAY        2.240    0.19    0.24
3EJ9B        70      XRAY        1.500    0.21    0.25
5YEGA       142      XRAY        2.000    0.19    0.20
5XCCA       476      XRAY        2.480    0.23    0.27
2VV6A       119      XRAY        1.500    0.18    0.21
2G5GX       268      XRAY        1.900    0.21    0.24
4NS5A       227      XRAY        1.900    0.21    0.25
3CGGA       195      XRAY        2.000    0.17    0.21
5JO8A       279      XRAY        1.400    0.22    0.24
4NGDA       302      XRAY        1.960    0.18    0.20
4CADC       271      XRAY        2.500    0.23    0.27
3TQQA       314      XRAY        2.000    0.20    0.25
4CCSA       231      XRAY        1.900    0.20    0.24
4XINA       126      XRAY        1.500    0.16    0.20
3H9WA       115      XRAY        1.900    0.20    0.22
3GPIA       286      XRAY        1.440    0.19    0.23
1RWZA       245      XRAY        1.800    0.22    0.24
3K4IA       244      XRAY        1.690    0.18    0.21
3AGNA       114      XRAY        0.960    0.12    0.13
5YK1A       452      XRAY        2.100    0.19    0.22
2EZVA       269      XRAY        2.400    0.22    0.27
2Q6KA       283      XRAY        1.550    0.20    0.21
5XF9A       591      XRAY        2.580    0.20    0.24
3VKWA       446      XRAY        1.900    0.18    0.23
3LDTA       169      XRAY        2.300    0.26    0.29
5K34A       119      XRAY        1.150    0.17    0.19
2XEPA       458      XRAY        1.500    0.20    0.22
1T6CA       315      XRAY        1.530    0.16    0.22
1Y71A       130      XRAY        1.950    0.22    0.27
4ZLHA       339      XRAY        2.000    0.21    0.26
2C92A       160      XRAY        1.600    0.18    0.22
3NRHA       182      XRAY        1.800    0.20    0.22
4H2DA       165      XRAY        1.800    0.21    0.23
2IRPA       208      XRAY        2.400    0.20    0.25
4TTWA       161      XRAY        1.200    0.16    0.19
3NQBA       608      XRAY        2.210    0.17    0.23
4A7KA       900      XRAY        2.000    0.17    0.22
3NG7X       431      XRAY        1.950    0.17    0.20
1EPFA       191      XRAY        1.850    0.20    0.23
4BK0A       111      XRAY        1.900    0.20    0.23
1HZTA       190      XRAY        1.450    0.19    0.22
5DEUA       462      XRAY        1.800    0.18    0.21
4NN5B       223      XRAY        1.900    0.17    0.20
5UVDA       221      XRAY        1.860    0.16    0.22
5CHPA       234      XRAY        1.700    0.17    0.20
3RGCA       252      XRAY        2.300    0.23    0.28
4D0QA       169      XRAY        1.200    0.13    0.16
2VLQA        86      XRAY        1.600    0.17    0.20
2PHNA       254      XRAY        1.350    0.16    0.19
3HR0A       263      XRAY        1.900    0.20    0.22
5XDHA        86      XRAY        1.320    0.16    0.17
2ZUVA       759      XRAY        1.850    0.15    0.19
5BJXA       366      XRAY        1.600    0.16    0.18
4DO4A       400      XRAY        1.400    0.14    0.18
5HSXA       323      XRAY        1.800    0.16    0.18
5UAMA       473      XRAY        1.450    0.13    0.14
3DP7A       363      XRAY        2.330    0.19    0.25
1NA6A       404      XRAY        2.100    0.25    0.28
6B3YA       259      XRAY        1.850    0.20    0.24
5II6A       112      XRAY        0.950    0.13    0.14
3PF2A       319      XRAY        1.700    0.20    0.24
5H6QB       140      XRAY        2.530    0.23    0.25
5FYAA       314      XRAY        2.140    0.20    0.23
4IKDA       172      XRAY        1.600    0.19    0.24
5K0AA       330      XRAY        1.710    0.17    0.19
3ISRA       293      XRAY        1.900    0.19    0.22
1H12A       405      XRAY        1.200    0.11    0.13
3MV2B       310      XRAY        2.900    0.25    0.30
4CV7A       113      XRAY        1.400    0.17    0.20
4IPUA       137      XRAY        1.350    0.18    0.20
3X1LH       349      XRAY        2.100    0.21    0.25
4KJMA       129      XRAY        2.000    0.19    0.23
2Z9WA       392      XRAY        1.700    0.15    0.18
4ZC3A        68      XRAY        1.400    0.20    0.21
5C2IA       468      XRAY        1.890    0.18    0.20
5IPYA       453      XRAY        1.500    0.15    0.17
1VI6A       208      XRAY        1.950    0.21    0.24
3PY9A       294      XRAY        2.200    0.25    0.29
1QR0A       228      XRAY        1.900    0.22    0.28
6GQFA       231      XRAY        2.900    0.20    0.26
3FEGA       379      XRAY        1.300    0.16    0.19
1UKFA       188      XRAY        1.350    0.20    0.22
2PTTB       112      XRAY        1.630    0.19    0.24
5U4UA       178      XRAY        1.900    0.18    0.22
4CK4A       162      XRAY        1.120    0.14    0.17
2PSTX        74      XRAY        1.800    0.19    0.23
5C98A       382      XRAY        1.450    0.17    0.18
3QS2A       188      XRAY        1.780    0.18    0.22
3MDMA       456      XRAY        1.600    0.18    0.23
1JIWI       106      XRAY        1.740    0.18    0.20
1XOVA       326      XRAY        1.800    0.17    0.20
2WY4A       140      XRAY        1.350    0.18    0.21
5J4MA       283      XRAY        1.990    0.21    0.23
3OIQA       233      XRAY        2.400    0.23    0.27
2FCKA       181      XRAY        1.700    0.21    0.24
2QJZA       123      XRAY        1.250    0.18    0.20
1H16A       759      XRAY        1.530    0.14    0.16
5XNCA       371      XRAY        1.840    0.16    0.21
2X3DA        96      XRAY        2.700    0.23    0.25
4F87A        72      XRAY        1.400    0.19    0.20
2DYJA        95      XRAY        1.840    0.20    0.24
3TUFB       245      XRAY        2.260    0.17    0.23
1YHTA       367      XRAY        2.000    0.15    0.21
5ER9A       400      XRAY        1.690    0.19    0.22
4GEKA       261      XRAY        1.500    0.17    0.20
3T5NA       354      XRAY        1.790    0.18    0.21
3GHFA       120      XRAY        2.200    0.24    0.29
5OMBC       111      XRAY        1.940    0.19    0.22
1PF5A       131      XRAY        2.500    0.20    0.22
4XNGA       144      XRAY        3.000    0.23    0.25
2BLNA       305      XRAY        1.200    0.14    0.16
3L0QA       554      XRAY        1.610    0.19    0.22
3KGZA       156      XRAY        1.850    0.20    0.25
3F0DA       183      XRAY        1.200    0.19    0.21
2P58C       116      XRAY        1.800    0.19    0.22
4NC7A        99      XRAY        2.000    0.24    0.26
4PXWA       381      XRAY        1.720    0.18    0.22
4WYHA       129      XRAY        1.950    0.16    0.18
4BQ2A       750      XRAY        1.900    0.17    0.21
1KOEA       172      XRAY        1.500    0.19    0.22
3LM2A       226      XRAY        1.700    0.16    0.19
6FY5A       198      XRAY        1.650    0.22    0.24
3CETA       334      XRAY        1.800    0.22    0.25
2O98P        52      XRAY        2.700    0.18    0.26
5DKUA       635      XRAY        2.900    0.19    0.23
4W4KA       107      XRAY        1.950    0.22    0.26
3O0QA       644      XRAY        1.800    0.18    0.21
3RT3C       109      XRAY        2.010    0.19    0.24
5KRTA       153      XRAY        1.650    0.19    0.20
3OS4A       407      XRAY        1.600    0.16    0.19
2HD0A       128      XRAY        2.280    0.23    0.27
2J6BA       109      XRAY        1.300    0.16    0.19
4WK0A       452      XRAY        1.780    0.19    0.22
5DGGA       190      XRAY        1.930    0.18    0.22
5Z7BA       198      XRAY        2.100    0.18    0.22
2RJOA       332      XRAY        2.050    0.23    0.28
3DGPA        80      XRAY        1.800    0.20    0.24
1F3UB       171      XRAY        1.700    0.23    0.26
1UXOA       192      XRAY        1.800    0.12    0.18
2R41A       110      XRAY        2.900    0.18    0.24
2ACFA       182      XRAY        1.400    0.17    0.19
3CRYA       188      XRAY        1.700    0.18    0.22
2FDRA       229      XRAY        2.000    0.18    0.23
3HSYA       376      XRAY        1.750    0.18    0.20
5J7RA       164      XRAY        2.500    0.22    0.27
3WXXB       219      XRAY        2.700    0.21    0.25
5M17A       385      XRAY        1.030    0.12    0.13
4AD9A       289      XRAY        2.600    0.18    0.22
2Q83A       346      XRAY        2.500    0.20    0.21
3FG8A       118      XRAY        1.800    0.17    0.22
4B60A       321      XRAY        1.830    0.20    0.25
3GNAA        96      XRAY        2.400    0.24    0.27
1T9IA       163      XRAY        1.600    0.19    0.21
3GWJA       674      XRAY        2.430    0.18    0.23
1E0CA       271      XRAY        1.800    0.18    0.23
3C26A       266      XRAY        2.000    0.18    0.24
4NDOA       276      XRAY        1.350    0.16    0.18
1SD4A       126      XRAY        2.000    0.21    0.24
3I83A       320      XRAY        1.900    0.19    0.23
5E8JC        44      XRAY        2.350    0.21    0.27
6AO7A       162      XRAY        1.850    0.20    0.24
1P90A       145      XRAY        1.800    0.19    0.26
4Q6VA       136      XRAY        1.970    0.22    0.29
4UY3A       198      XRAY        2.600    0.21    0.25
2NP5A       203      XRAY        1.800    0.18    0.22
2AUWA       170      XRAY        1.850    0.20    0.24
4AURA       577      XRAY        2.700    0.22    0.29
4LIXA       727      XRAY        1.550    0.17    0.20
3O9ZA       312      XRAY        1.450    0.20    0.23
3VJFA       102      XRAY        2.200    0.23    0.26
2RIHA       141      XRAY        2.100    0.20    0.24
5BZAA       467      XRAY        2.000    0.24    0.28
2V84A       343      XRAY        1.780    0.24    0.26
3BTPB        63      XRAY        2.300    0.21    0.26
5T1PA       348      XRAY        2.000    0.18    0.22
3WXFA       312      XRAY        2.300    0.19    0.23
5YSQA       286      XRAY        1.470    0.19    0.20
3WURA       171      XRAY        1.450    0.17    0.20
4CI8A       655      XRAY        2.600    0.20    0.25
3HS3A       277      XRAY        1.600    0.22    0.23
5NYKA       122      XRAY        1.050    0.15    0.16
2HP0A       466      XRAY        1.500    0.15    0.17
1ELUA       390      XRAY        1.550    0.22    0.26
2D48A       129      XRAY        1.650    0.22    0.25
2I7XA       717      XRAY        2.500    0.21    0.29
4AR9A       394      XRAY        1.690    0.17    0.22
4E45E       137      XRAY        2.000    0.20    0.24
3G67A       213      XRAY        2.170    0.24    0.28
3BEYA        96      XRAY        2.400    0.21    0.26
1ZKPA       268      XRAY        1.500    0.15    0.18
3RKOB       613      XRAY        3.000    0.23    0.28
3ZPXA       458      XRAY        1.990    0.18    0.23
2V1YA       108      XRAY        2.400    0.24    0.29
2FMAA        59      XRAY        0.850    0.13    0.15
4G26A       501      XRAY        1.750    0.17    0.21
1NV8A       284      XRAY        2.200    0.19    0.25
2NS6A       185      XRAY        2.100    0.24    0.29
5W5BA       236      XRAY        1.800    0.17    0.22
5B66A       344      XRAY        1.850    0.16    0.20
5JRBA       215      XRAY        2.410    0.23    0.27
5A8JA       373      XRAY        1.460    0.17    0.20
3KPEA        51      XRAY        1.470    0.19    0.20
2C5AA       379      XRAY        1.400    0.10    0.14
5EP6B        58      XRAY        1.450    0.19    0.22
2GB7A       305      XRAY        1.700    0.21    0.24
1HKQA       132      XRAY        2.750    0.24    0.27
2RFRA       155      XRAY        1.160    0.14    0.17
2X32A       179      XRAY        1.550    0.16    0.19
4B1MA       185      XRAY        1.100    0.16    0.18
1OK0A        74      XRAY        0.930    0.10    0.13
3QR7A       115      XRAY        0.940    0.10    0.11
1EUVB        86      XRAY        1.600    0.19    0.25
1F0KA       364      XRAY        1.900    0.22    0.25
1NRJA       158      XRAY        1.700    0.20    0.23
4TM7A       256      XRAY        1.390    0.15    0.18
1XU1R        42      XRAY        1.900    0.17    0.20
1BCPD       110      XRAY        2.700    0.23    1.00
4D6VA       314      XRAY        2.200    0.20    0.23
2Q3SA       206      XRAY        2.100    0.15    0.22
5WUCA       237      XRAY        1.600    0.22    0.24
3HNOA       419      XRAY        2.000    0.22    0.24
3G3SA       249      XRAY        1.800    0.20    0.24
2GPEA        52      XRAY        1.900    0.20    0.25
3IT8D       324      XRAY        2.800    0.24    0.27
4RUQA       238      XRAY        1.350    0.17    0.18
1REQB       637      XRAY        2.000    0.22    0.28
2PSBA       320      XRAY        2.100    0.22    0.27
5C6GB       218      XRAY        2.600    0.23    0.27
3I9WA       290      XRAY        2.700    0.25    0.30
3KZPA       235      XRAY        2.000    0.19    0.24
1PKOA       139      XRAY        1.450    0.19    0.22
3W06A       272      XRAY        1.150    0.13    0.16
4AYOA       447      XRAY        0.850    0.10    0.10
5UQ6A       313      XRAY        1.180    0.14    0.15
4S1BA       222      XRAY        2.100    0.17    0.20
1KXPD       458      XRAY        2.100    0.22    0.24
4WD1A       658      XRAY        1.900    0.16    0.19
1V70A       105      XRAY        1.300    0.20    0.20
1G3PA       217      XRAY        1.460    0.19    0.23
1E30A       155      XRAY        1.500    0.18    0.22
5TF2A       407      XRAY        2.800    0.19    0.21
1XIPA       388      XRAY        2.500    0.21    0.25
3CTWB       169      XRAY        2.900    0.28    0.31
1TS9A       102      XRAY        1.700    0.21    0.24
3I0ZA       389      XRAY        1.700    0.14    0.18
2Z5BB       179      XRAY        1.960    0.24    0.29
3L46A       112      XRAY        1.480    0.18    0.20
5GTUA       186      XRAY        1.500    0.14    0.19
2E8GA       241      XRAY        1.700    0.20    0.24
2D5MA       190      XRAY        1.050    0.14    0.16
3GOEA        82      XRAY        0.970    0.14    0.17
5W95A       285      XRAY        1.720    0.16    0.18
3LCCA       235      XRAY        1.800    0.15    0.18
2HA9A       446      XRAY        2.700    0.20    0.27
1ZR6A       503      XRAY        1.550    0.18    0.20
4J39A       127      XRAY        1.700    0.18    0.21
4HR1A       126      XRAY        2.500    0.23    0.28
3CLWA       507      XRAY        2.200    0.20    0.24
2QNGA       199      XRAY        1.400    0.17    0.19
3MTVA       203      XRAY        2.800    0.20    0.26
3SK2A       132      XRAY        1.010    0.13    0.15
3P4HA       118      XRAY        1.100    0.14    0.17
2W2RA       228      XRAY        1.830    0.16    0.18
1EZJA       115      XRAY        1.900    0.26    0.29
1XDYA       298      XRAY        2.200    0.23    0.26
4DNCD        48      XRAY        2.050    0.21    0.25
1NP0A        58      XRAY        2.500    0.20    0.23
3ILXA       143      XRAY        2.000    0.19    0.24
6EVUA       315      XRAY        1.600    0.19    0.23
6F91A       764      XRAY        1.800    0.16    0.18
4F03A       253      XRAY        1.800    0.19    0.23
2BKMA       128      XRAY        1.500    0.17    0.19
5TQIA       294      XRAY        1.500    0.14    0.18
3D3BJ        87      XRAY        1.300    0.17    0.20
5I39A       408      XRAY        1.200    0.14    0.16
5SZHA       153      XRAY        2.300    0.18    0.21
4TPNA       406      XRAY        1.180    0.16    0.17
3GWIA       170      XRAY        1.600    0.19    0.22
4DOVA       163      XRAY        1.700    0.22    0.24
3JQOA       227      XRAY        2.600    0.23    0.26
2ZQKC        77      XRAY        2.800    0.24    0.30
2X1DA       357      XRAY        1.640    0.18    0.21
2GHTA       181      XRAY        1.800    0.24    0.23
5WTQA       126      XRAY        1.900    0.21    0.25
1UURA       473      XRAY        2.700    0.21    0.27
4MIXA       336      XRAY        1.800    0.23    0.26
3WWNA       269      XRAY        1.850    0.18    0.21
5E1LA       200      XRAY        2.150    0.20    0.23
5JQNA       266      XRAY        1.190    0.17    0.18
3NBMA       108      XRAY        1.300    0.13    0.17
4FTDA       453      XRAY        1.910    0.15    0.18
2I76A       276      XRAY        3.000    0.24    0.29
1YRTA       364      XRAY        2.100    0.24    0.27
4Q52A       184      XRAY        2.600    0.17    0.21
4S3IA       384      XRAY        1.950    0.22    0.25
3N4PA       279      XRAY        2.150    0.22    0.27
5OBTE        51      XRAY        1.500    0.15    0.18
4B2FA       214      XRAY        1.880    0.21    0.23
2E26A       725      XRAY        2.000    0.22    0.22
4U4RN1      159      XRAY        2.800    0.21    0.25
2IC6A        78      XRAY        1.150    0.16    0.18
2RHMA       193      XRAY        1.700    0.18    0.22
2G3RA       123      XRAY        1.250    0.20    0.24
3ZI1A       330      XRAY        1.900    0.17    0.20
5MDUA       157      XRAY        1.020    0.14    0.15
5EL3A       113      XRAY        1.590    0.18    0.20
5AXMA       251      XRAY        2.210    0.22    0.24
3Q7RA       121      XRAY        1.600    0.19    0.21
1MXRA       375      XRAY        1.420    0.16    0.18
